ISBN,TITLE,ANALYZE,$ USED,$ NEW,$ AMAZON,$ TRADE-IN,# USED,# NEW,RANK,AVG. RANK,PUB DATE
1305664477,Student Manual for Corey's Theory and Pr…,,51.69,44.9,103.98,No Value,7,7,"59,472","64,757",2016
62878905,Harry Potter Page to Screen: Updated Edi…,,49.79,41.94,69.99,No Value,5,11,"24,660","64,822",2018
1603113800,Beachbum Berry's Potions of the Caribbea…,,23.03,34.99,36.8,No Value,2,3,"43,338","64,828",2013
736970290,"The Bible from 30,000 Feet: Soaring Thro…",,19.99,28.97,34.99,No Value,10,8,"76,497","64,854",2017
62939238,My Name Is Prince,,39.98,40.96,44.99,No Value,12,42,"67,890","65,058",2019
321563840,"The C++ Programming Language, 4th Editio…",,39.57,52.69,55.49,No Value,15,16,"77,881","65,135",2013
1506235328,MCAT 528 Advanced Prep 2019-2020: Online…,,29.73,31.31,42.74,No Value,12,3,"49,025","65,245",2018
521618959,The Cambridge History of Warfare,,31.67,31.98,31.99,No Value,6,6,"80,553","65,250",2005
1593275641,Penetration Testing: A Hands-On Introduc…,,25.93,32.98,36.99,No Value,29,26,"125,457","65,264",2014
826164781,Adult-Gerontology Acute Care Nurse Pract…,,61.31,65.19,66.2,No Value,11,10,"59,662","65,290",2018
847863247,Steven Gambrel: Perspective,,42.47,47.48,47.49,No Value,15,29,"67,451","65,328",2018
393707458,Attachment-Focused EMDR: Healing Relatio…,,38.99,35.08,39.91,No Value,13,16,"63,169","65,347",2013
131905062X,Psychology,,123.98,154.86,158.49,No Value,19,9,"81,573","65,381",2017
032324338X,Pediatric Primary Care,,48.49,103.99,125.34,No Value,48,9,"60,925","65,432",2016
1432865099,The Pioneers: The Heroic Story of the Se…,,33.23,34.99,34.99,No Value,7,10,"30,038","65,485",2019
1601259751,Starfinder Roleplaying Game: Alien Archi…,,26.48,34.3,39.99,No Value,16,24,"60,196","65,526",2017
990798542,Olympic Weightlifting: A Complete Guide …,,38.72,42.8,44.95,No Value,9,9,"58,899","65,601",2016
674824261,Sources of the Self: The Making of the M…,,22.49,36.56,36.56,No Value,24,19,"82,958","65,617",1992
019517805X,Affective Neuroscience: The Foundations …,,46.42,66.98,67,No Value,15,22,"10,138","65,623",2004
1444195107,Complete Swedish Beginner to Intermediat…,,31.47,28.52,31.49,No Value,10,12,"51,800","65,631",2018
781747805,Muscles: Testing and Testing and Functio…,,35.14,64.23,107.99,No Value,76,17,"60,555","65,737",2005
1260026507,Pathophysiology of Disease: An Introduct…,,82.94,85.24,85.5,No Value,12,24,"66,479","65,768",2018
1944366075,2018 Uniform Plumbing Code with Tabs,,124.97,125,125,No Value,10,7,"40,760","65,805",2018
323443834,Foundations for Population Health in Com…,,74.97,103.27,116,No Value,31,12,"105,015","65,842",2017
1118133161,"Trading Options Greeks: How Time, Volati…",,55.6,58.51,65.35,No Value,12,22,"66,235","65,881",2012
111903566X,Architectural Graphics,,24.78,43.84,46.64,No Value,38,31,"67,950","65,885",2015
71834621,LANGE Radiography Review Flashcards,,37.82,37.83,37.83,No Value,11,13,"48,611","66,067",2015
1509853472,The Jane Austen Collection (Macmillan Co…,,63.5,60.48,75,No Value,3,10,"41,249","66,102",2017
323461700,Clinical Companion for Medical-Surgical …,,32.83,35.92,43.99,No Value,20,23,"102,978","66,184",2017
316318582,The Art of Movement,,24.32,41.33,42.47,No Value,7,12,"31,166","66,246",2016
1508682178,PANCE and PANRE Question Book: A Compreh…,,42.22,49.4,49.4,No Value,15,7,"59,374","66,251",2015
1096195380,No-Nonsense Classical Mechanics: A Stude…,,35.22,33.99,33.99,No Value,1,3,"68,854","66,288",2019
892813636,The New Orleans Voodoo Tarot/Book and Ca…,,26.37,30.6,31.5,No Value,10,12,"89,617","66,356",1992
145489251X,Examples & Explanations for Evidence,,41.49,55.99,57.88,No Value,10,15,"49,579","66,358",2018
150671031X,NieR: Automata World Guide Volume 1,,28.52,30.01,32.02,No Value,21,32,"49,314","66,377",2019
892819782,The Encyclopedia of Psychoactive Plants:…,,86.89,91.46,91.46,No Value,19,25,"43,299","66,837",2005
1579129854,Bob Dylan: All the Songs - the Story Beh…,,18.33,28.65,33.85,No Value,45,25,"52,186","66,883",2015
071487521X,Herman Miller: A Way of Living,,51.93,58.68,58.99,No Value,13,35,"41,778","66,896",2019
1426213921,National Geographic Stunning Photographs,,13.89,30.02,40,No Value,61,25,"50,499","66,982",2014
134380991,Basic Arrhythmias,,91.35,132.14,138.99,No Value,21,17,"45,341","66,993",2016
793518326,The Beatles: Complete Scores (Transcribe…,,40.39,55.93,62.1,No Value,37,30,"55,422","66,997",1993
618250220,"Geometry, Grades 9-12: Mcdougal Littell …",,10.9,124.52,124.53,No Value,73,9,"62,667","67,014",2004
325052875,"Children's Mathematics, Second Edition: …",,21.48,33.99,34.56,No Value,43,23,"113,776","67,113",2014
163140976X,"Bloom County: Real, Classy, & Compleat: …",,58.48,81.83,81.83,No Value,7,13,"51,100","67,211",2017
842316361,Life Application Study Bible (King James…,,22.17,33.86,33.86,No Value,30,31,"96,204","67,218",1997
826147224,Social Work ASWB Masters Practice Test: …,,19.29,27.23,42.87,No Value,22,10,"77,323","67,292",2017
399582762,Last Call: Bartenders on Their Final Dri…,,16.43,24.37,35,No Value,15,13,"56,464","67,296",2019
891896600,Board of Certification Study Guide -- Cl…,,82.39,79.88,82.41,No Value,7,10,"70,046","67,337",2018
393095398,Twentieth-Century Harmony: Creative Aspe…,,32.7,47.2,48.25,No Value,19,12,"47,398","67,389",1961
593082168,"Toni Morrison Box Set: The Bluest Eye, S…",,37.95,46.95,46.95,No Value,6,3,"42,619","67,448",2019
1585624624,DSM-5TM Handbook of Differential Diagnos…,,85.07,85.96,90.25,No Value,5,6,"81,729","67,483",2013
190627816,Parent Training for Disruptive Behavior:…,,39.65,32.04,53,No Value,9,26,"69,877","67,503",2018
899577458,The Hebrew-Greek Key Word Study Bible: K…,,35.18,38.22,38.77,No Value,9,14,"40,935","67,763",2008
1626239290,NANDA International Nursing Diagnoses: D…,,45.08,47.49,47.49,No Value,7,27,"99,418","67,911",2017
3030053865,Surgery: A Case Based Clinical Review,,92.72,83.43,84.99,No Value,4,15,"78,311","67,973",2019
1092660631,Fluency Word Lists: An Orton-Gilligham R…,,35.99,40,40,No Value,4,3,"91,033","67,991",2019
